_id,nome_campus,ano,semestre,cod_ccr,nome_ccr,cr_ccr,ch_ccr,id_turma,desc_turma,tem_turma,cod_uffs_curso_turma,curso_turma,fase_turma,lista_docentes_ch,ch_teorica,ch_pratica,vagas_turma,qtd_inscritos,qtd_concluiram,sit_turma,data_atualizacao
362ddce8-4e5d-42f0-863d-ad9950d9657b,Laranjeiras do Sul,2015,2,GEX137,Econometria,4,60,11524,Ciências Econômicas - 6ª fase - Integral - 2015/2,,2601,CIÊNCIAS ECONÔMICAS,6,"[{""docente"":""PAULO ALEXANDRE NUNES"",""ch_docente"":60}]",0,0,50,22,22,Encerrada,2022-02-22
dccfaa3b-fe3b-4ec5-b4d6-0dea41aa5cdf,Realeza,2016,2,GCA098,Patologia e clínica cirúrgica veterinária,6,90,15839,Medicina Veterinária (Turma B) - 8ª e 10ª Fase - Integral - 2016/2 ,,3530,MEDICINA VETERINÁRIA,8,"[{""docente"":""GENTIL FERREIRA GONCALVES"",""ch_docente"":60},{""docente"":""GABRIELLE COELHO FREITAS"",""ch_docente"":30}]",0,0,18,8,8,Encerrada,2022-02-22
4f343196-9cd9-48da-9bef-8404978a3f23,Realeza,2017,1,GCB218,Biologia sanitária e ambiental,2,30,17037,Ciências Biológicas - 10ª Fase - Noturno - 2017/1,,3201,CIÊNCIAS BIOLÓGICAS,10,"[{""docente"":""BERTA LUCIA PEREIRA VILLAGRA"",""ch_docente"":15},{""docente"":""DENISE MATIAS DE FARIA"",""ch_docente"":15}]",0,0,40,38,35,Encerrada,2022-02-22
82d25905-f2f2-4f0c-a8fb-df3589def2bd,Realeza,2017,1,GEX002,Introdução à informática,4,60,17039,Letras - Português e Espanhol - 1ª Fase - Noturno - 2017/1,,3803,LETRAS - PORTUGUÊS E ESPANHOL,1,"[{""docente"":""MARCELO ZANETTI"",""ch_docente"":60}]",0,0,34,37,33,Encerrada,2022-02-22
fcf217fa-f161-46ee-8b1f-817902b397ce,Realeza,2018,2,GCB066,Fisiologia veterinária I,4,60,22303,Medicina Veterinária (Turma A) - 4ª Fase - Integral - 2018/2,,3530,MEDICINA VETERINÁRIA,4,"[{""docente"":""DENISE MARIA SOUSA DE MELLO"",""ch_docente"":45}]",0,0,25,25,25,Encerrada,2022-02-22
3990c611-22ba-4d7f-b5ff-068cefdb9a53,Erechim,2019,1,GCH050,Teorias da aprendizagem e do desenvolvimento humano,3,45,24171,Geografia - 5ª Fase - Noturno - 2019/1,,5712,GEOGRAFIA,5,"[{""docente"":""IVONE MARIA MENDES SILVA"",""ch_docente"":45}]",0,0,50,25,22,Encerrada,2022-02-22
c3ae7a84-1baf-4696-b450-32f397bf5482,Chapecó,2019,1,GCH168,"Estágio: teoria, metodologia e estratégias",4,60,24456,Pedagogia - 6ª Fase - Noturno - 2019/1,,1731,PEDAGOGIA,6,"[{""docente"":""CAMILA DE FATIMA SOARES DOS SANTOS"",""ch_docente"":60}]",0,0,50,26,26,Encerrada,2022-02-22
620c9f23-c9d3-42c8-901f-5d2b6fd40bbb,Laranjeiras do Sul,2017,1,GEN012,Hidráulica,4,60,17470,Engenharia de Aquicultura - 5ª Fase - Integral - 2017/1,,2510,ENGENHARIA DE AQUICULTURA,5,"[{""docente"":""CACEA FURLAN MAGGI CARLOTO"",""ch_docente"":60}]",0,0,50,19,18,Encerrada,2022-02-22
2324e273-dfc4-4bda-a4dc-124fb79b0584,Realeza,2018,2,GCA098,Patologia e clínica cirúrgica veterinária,6,90,22354,Medicina Veterinária (Turma B) - 8ª Fase - Integral - 2018/2,,3530,MEDICINA VETERINÁRIA,8,"[{""docente"":""GABRIELLE COELHO FREITAS"",""ch_docente"":45},{""docente"":""GENTIL FERREIRA GONCALVES"",""ch_docente"":60}]",0,0,18,10,9,Encerrada,2022-02-22
269cbde3-ad41-4996-b120-d97212533025,Laranjeiras do Sul,2016,2,GCH035,Política educacional e legislação do ensino no Brasil,3,45,15121,Interdisciplinar em educação do campo: ciências sociais e humanas (Pronacampo) - 3ª Fase - Integral - 2016/2,,2550,INTERDISCIPLINAR EM EDUCAÇÃO DO CAMPO: CIÊNCIAS SOCIAIS E HUMANAS,3,"[{""docente"":""LUCIANO BAGDINSKI JUNIOR"",""ch_docente"":45}]",0,0,60,41,39,Encerrada,2022-02-22
8dde5b1d-1f4e-4fd2-bd8a-7eb046e10109,Laranjeiras do Sul,2017,1,GCA128,Estágio curricular supervisionado I,6,90,17472,Engenharia de Aquicultura - 5ª Fase - Integral - 2017/1,,2510,ENGENHARIA DE AQUICULTURA,5,"[{""docente"":""JORGE ERICK GARCIA PARRA"",""ch_docente"":90}]",0,0,50,9,7,Encerrada,2022-02-22
af7162a8-e415-4893-8a94-083acb380f78,Chapecó,2011,2,GCH024,Fundamentos da educação,3,45,1703,Letras - Port. e Esp.  (T1),,1800,LETRAS - PORTUGUÊS E ESPANHOL,4,"[{""docente"":""OTO JOAO PETRY"",""ch_docente"":45}]",0,0,30,13,11,Encerrada,2022-02-22
b9dd4b17-8051-4183-bf6a-e01ab8ccf069,Realeza,2017,1,GEX001,Matemática instrumental,4,60,17040,Letras - Português e Espanhol - 1ª e 5ª Fase - Noturno - 2017/1,,3803,LETRAS - PORTUGUÊS E ESPANHOL,1,"[{""docente"":""EVERTON ARTUSO"",""ch_docente"":60}]",0,0,54,58,52,Encerrada,2022-02-22
6143084e-198e-47f3-a6b2-4654a163fa46,Laranjeiras do Sul,2017,1,GCA033,Introdução ao trabalho de conclusão de curso,2,30,17482,Engenharia de Aquicultura - 9ª Fase - Integral - 2017/1,,2510,ENGENHARIA DE AQUICULTURA,9,"[{""docente"":""MARCOS WEINGARTNER"",""ch_docente"":30}]",0,0,50,9,9,Encerrada,2022-02-22
18ca670d-cde2-4550-8e3c-4d1b3bc13550,Cerro Largo,2018,2,GEX235,Laboratório de mecânica,2,30,21400,Física - Todas as Fases - Noturno - 2018/2,,4100,FÍSICA,1,"[{""docente"":""THIAGO DE CACIO LUCHESE"",""ch_docente"":30}]",0,0,30,15,14,Encerrada,2022-02-22
7ba2e7a8-3d41-4471-b8e6-3240524c5f86,Erechim,2019,1,GCH292,História da fronteira Sul,4,60,24242,Arquitetura e Urbanismo - 3ª Fase - Integral - 2019/1,,5610,ARQUITETURA E URBANISMO,3,"[{""docente"":""DEBORA CLASEN DE PAULA"",""ch_docente"":30},{""docente"":""GERSON LUIS EGAS SEVERO"",""ch_docente"":15},{""docente"":""PAULO JOSE SA BITTENCOURT"",""ch_docente"":15}]",0,0,52,52,49,Encerrada,2022-02-22
be20deb6-c61f-447d-9c5e-e296d7f22489,Realeza,2011,2,GLA004,Leitura e produção textual II,4,60,1175,Ciências (T2B),,3111,CIÊNCIAS NATURAIS,2,"[{""docente"":""SAULO GOMES THIMOTEO"",""ch_docente"":60}]",0,0,50,35,32,Encerrada,2022-02-22
4cf07725-1663-4455-9a7a-ba9aeaf4be28,Realeza,2017,1,GCS010,Direitos e cidadania,4,60,17041,Letras - Português e Espanhol - 1ª Fase - Noturno - 2017/1,,3803,LETRAS - PORTUGUÊS E ESPANHOL,1,"[{""docente"":""FABIANA MARRETO SECARIOLO"",""ch_docente"":60}]",0,0,35,38,34,Encerrada,2022-02-22
4ded1476-195c-4fd5-96b1-cf94e3217186,Laranjeiras do Sul,2017,1,GEX210,Estatística básica,4,60,17497,Engenharia de Alimentos - Integral - 3ª Fase - 2017/1,,2310,ENGENHARIA DE ALIMENTOS,3,"[{""docente"":""ALEXANDRE MANOEL DOS SANTOS"",""ch_docente"":60}]",0,0,60,20,15,Encerrada,2022-02-22
06db1098-e120-43c9-94eb-1411d46a4d9e,Chapecó,2019,1,GCH1035,História geral da educação,4,60,24491,Pedagogia - 1ª Fase - Matutino - 2019/1,,1730,PEDAGOGIA,1,"[{""docente"":""CAMILA DE FATIMA SOARES DOS SANTOS"",""ch_docente"":60}]",0,0,62,61,54,Encerrada,2022-02-22
a97c432c-713d-4a34-aaed-90e1dcdd15ed,Laranjeiras do Sul,2017,1,GCB232,Bioquímica,4,60,17496,Engenharia de Alimentos - Integral - 3ª Fase - 2017/1,,2310,ENGENHARIA DE ALIMENTOS,3,"[{""docente"":""RAFAEL NICOLAY PEREIRA"",""ch_docente"":60}]",0,0,60,58,54,Encerrada,2022-02-22
43388bde-5c71-4513-a1d4-13edd9732f5f,Erechim,2019,1,GCS242,Direito ambiental,2,30,24577,Engenharia Ambiental - 8ª Fase - Integral - 2019/1,,5302,ENGENHARIA AMBIENTAL E SANITÁRIA,8,"[{""docente"":""CRISTIANE FUNGHETTO FUZINATTO"",""ch_docente"":30}]",0,0,50,24,22,Encerrada,2022-02-22
2eb4fe4c-454a-4bf4-ade2-4724a67f1532,Erechim,2016,2,GCS011,"Meio ambiente, economia e sociedade",4,60,15879,Agronomia - 8ª Fase - Integral - 2016/2,,5502,AGRONOMIA,8,"[{""docente"":""JOSE MARTINS DOS SANTOS"",""ch_docente"":60}]",0,0,50,37,29,Encerrada,2022-02-22
fa8cbccf-1c94-455e-ba72-b98a8167a8c7,Erechim,2015,1,GCS029,"Projeto urbano e arquitetônico e o ambiente - módulos de conforto lumínico, térmico e acústico",12,180,10965,Arquitetura e Urbanismo (Turma B) - 5ª Fase - Integral - 2015/1,,5610,ARQUITETURA E URBANISMO,5,"[{""docente"":""ANA MARIA SCHUCH ARAUJO"",""ch_docente"":180}]",0,0,18,14,14,Encerrada,2022-02-22
e5712131-6535-4cf7-8846-264ff7c953e2,Chapecó,2017,1,GCH050,Teorias da aprendizagem e do desenvolvimento humano,3,45,16550,Ciências Sociais - 6ª Fase - Matutino - 2017/1,,1740,CIÊNCIAS SOCIAIS,6,"[{""docente"":""LETICIA RIBEIRO LYRA"",""ch_docente"":45}]",0,0,35,15,6,Encerrada,2022-02-22
